,cpg,gene,correlation,p_value,regulation_type,strength
0,CpG_ptg000060c_58292,FUN_041830,0.35350271163890257,0.02524387625032159,activation,0.35350271163890257
1,CpG_ntLink_8_16166797,FUN_041830,-0.3434442745572969,0.030027135999540835,repression,0.3434442745572969
2,CpG_ptg000021l_6264633,FUN_041830,-0.3667487661454912,0.019926200761886132,repression,0.3667487661454912
3,CpG_ptg000011l_8393715,FUN_041830,0.5485002146816924,0.0002479588684707271,activation,0.5485002146816924
4,CpG_ntLink_8_16166893,FUN_041830,-0.39379121735826816,0.011934208189598288,repression,0.39379121735826816
5,CpG_ptg000023l_35051554,FUN_041830,-0.3208107886741967,0.04355528988844205,repression,0.3208107886741967
6,CpG_ptg000015l_6211631,FUN_041830,0.3398603879659328,0.03190246550290243,activation,0.3398603879659328
7,CpG_ptg000008l_25384586,FUN_041830,0.48513266731818694,0.001509722043508999,activation,0.48513266731818694
8,CpG_ntLink_6_13134542,FUN_008172,0.5155931348857362,0.0006618724554633542,activation,0.5155931348857362
9,CpG_ntLink_8_16166883,FUN_008172,0.39022359691473496,0.012799417802694424,activation,0.39022359691473496
10,CpG_ntLink_6_13135361,FUN_008172,0.3906900485326571,0.012683353645244177,activation,0.3906900485326571
11,CpG_ptg000031l_13053283,FUN_008172,0.3952386631861131,0.011597646503816618,activation,0.3952386631861131
12,CpG_ntLink_6_13135371,FUN_008172,0.37963071184706504,0.01568859013174353,activation,0.37963071184706504
13,CpG_ptg000029c_793095,FUN_008172,-0.4377490239208676,0.004729951736442517,repression,0.4377490239208676
14,CpG_ptg000007l_6510300,FUN_008172,0.3170928179657171,0.046189384970514634,activation,0.3170928179657171
15,CpG_ptg000024l_8612211,FUN_008172,0.46133663017683557,0.002733369428060744,activation,0.46133663017683557
16,CpG_ptg000016l_5715674,FUN_008172,-0.41270525382167744,0.008132108109128426,repression,0.41270525382167744
17,CpG_ptg000012l_8046997,FUN_008172,0.37107895339200864,0.018405971846195517,activation,0.37107895339200864
18,CpG_ntLink_8_16166797,FUN_008172,0.6914256170338738,7.814807175536038e-07,activation,0.6914256170338738
19,CpG_ptg000025l_13839187,FUN_008172,0.48318970866478117,0.0015872360741318512,activation,0.48318970866478117
20,CpG_ptg000030l_3155880,FUN_008172,0.4392391174059428,0.0045740234820043505,activation,0.4392391174059428
21,CpG_ptg000023l_14647558,FUN_008172,0.3194239917010557,0.0445231857355518,activation,0.3194239917010557
22,CpG_ptg000023l_14647605,FUN_008172,0.3934990738029954,0.012003136053098072,activation,0.3934990738029954
23,CpG_ptg000027l_2551252,FUN_008172,0.4301996614563696,0.005592920874939458,activation,0.4301996614563696
24,CpG_ptg000016l_3294411,FUN_008172,0.5366051678373785,0.00035773814172069396,activation,0.5366051678373785
25,CpG_ptg000016l_3294415,FUN_008172,0.5111348287870908,0.0007503837632862705,activation,0.5111348287870908
26,CpG_ptg000025l_13842110,FUN_008172,0.5108483369827443,0.0007564162839934395,activation,0.5108483369827443
27,CpG_ntLink_6_13134800,FUN_008172,0.6875791284627076,9.518120879920686e-07,activation,0.6875791284627076
28,CpG_ntLink_6_13135348,FUN_008172,0.4527881098991982,0.0033491859908956925,activation,0.4527881098991982
29,CpG_ptg000025l_13842132,FUN_008172,0.5401097447993107,0.0003215729153056076,activation,0.5401097447993107
30,CpG_ptg000004l_4757487,FUN_008172,-0.33746951569268513,0.033206315009444286,repression,0.33746951569268513
