CpG,ACR-139-TP1,ACR-139-TP2,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP2,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP2,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP2,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP2,ACR-186-TP3,ACR-186-TP4,ACR-225-TP1,ACR-225-TP2,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP2,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP2,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP2,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP2,ACR-265-TP3,ACR-265-TP4
CpG_ntLink_6_13134032,0.0,0.0,0.0,2.4390243902439,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6315789473684,22.2222222222222,10.5263157894737,22.7272727272727,18.0,20.9302325581395,14.5833333333333,12.5,0.0,0.0,0.0,10.0,17.3913043478261,16.6666666666667,4.34782608695652,11.1111111111111,0.0,0.0,0.0,0.0
CpG_ntLink_6_13134040,0.0,0.0,0.0,2.4390243902439,0.0,0.0,4.54545454545455,7.69230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7777777777778,15.0,42.3076923076923,28.5714285714286,28.8888888888889,31.25,23.2558139534884,0.0,0.0,0.0,0.0,18.1818181818182,16.6666666666667,21.7391304347826,11.1111111111111,11.5384615384615,4.34782608695652,0.0,4.16666666666667
CpG_ntLink_6_13134052,0.0,0.0,0.0,4.76190476190476,0.0,0.0,0.0,6.89655172413793,5.88235294117647,0.0,0.0,0.0,0.0,2.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,33.3333333333333,17.6470588235294,9.52380952380952,40.7407407407407,26.3157894736842,30.4347826086957,32.0,26.1904761904762,0.0,0.0,0.0,10.0,30.0,16.6666666666667,17.3913043478261,8.82352941176471,15.3846153846154,4.16666666666667,0.0,3.84615384615385
CpG_ntLink_6_13134419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.3846153846154,9.80392156862745,23.4042553191489,0.0,0.0,0.0,0.0,17.3913043478261,8.33333333333333,0.0,27.2727272727273,24.4444444444444,24.390243902439,20.0,22.2222222222222,0.0,0.0,0.0,0.0,25.0,35.7142857142857,43.4782608695652,39.2857142857143,0.0,0.0,0.0,0.0
CpG_ntLink_6_13134512,0.0,3.33333333333333,3.57142857142857,2.22222222222222,12.5,10.0,0.0,16.6666666666667,0.0,0.0,0.0,0.0,6.06060606060606,0.0,0.0,13.5135135135135,0.0,0.0,0.0,0.0,53.3333333333333,18.1818181818182,15.3846153846154,23.0769230769231,31.9148936170213,27.5,29.0322580645161,32.5,0.0,0.0,0.0,0.0,3.84615384615385,13.0434782608696,26.0869565217391,6.66666666666667,3.2258064516129,23.5294117647059,3.84615384615385,15.3846153846154
CpG_ntLink_6_13134542,0.0,5.55555555555556,0.0,0.0,4.16666666666667,4.34782608695652,0.0,5.0,0.0,0.0,0.0,0.0,2.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9310344827586,6.66666666666667,5.88235294117647,13.3333333333333,11.9047619047619,5.88235294117647,5.55555555555556,10.8695652173913,0.0,0.0,0.0,0.0,8.69565217391304,4.16666666666667,5.26315789473684,3.57142857142857,3.2258064516129,0.0,3.57142857142857,11.1111111111111
CpG_ntLink_6_13134554,0.0,0.0,0.0,0.0,0.0,4.54545454545455,0.0,0.0,0.0,0.0,4.34782608695652,0.0,2.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9032258064516,0.0,5.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,4.34782608695652,0.0,0.0,0.0,3.125,0.0,0.0,5.0
CpG_ntLink_6_13134703,0.0,0.0,0.0,0.0,2.94117647058824,5.88235294117647,4.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9411764705882,33.3333333333333,3.7037037037037,16.6666666666667,2.85714285714286,2.4390243902439,9.375,15.7894736842105,0.0,0.0,0.0,0.0,14.2857142857143,14.8148148148148,0.0,5.71428571428571,3.84615384615385,0.0,6.06060606060606,4.0
CpG_ntLink_6_13134790,0.0,0.0,0.0,0.0,13.3333333333333,11.5384615384615,7.69230769230769,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8888888888889,26.6666666666667,14.2857142857143,22.5,28.2051282051282,17.6470588235294,23.2558139534884,26.1904761904762,0.0,0.0,0.0,0.0,8.88888888888889,13.6363636363636,0.0,23.3333333333333,13.7931034482759,0.0,2.77777777777778,5.26315789473684
CpG_ntLink_6_13134796,0.0,0.0,0.0,0.0,13.6363636363636,18.5185185185185,17.8571428571429,0.0,2.5,0.0,0.0,0.0,3.38983050847458,0.0,3.33333333333333,2.38095238095238,0.0,0.0,0.0,0.0,36.8421052631579,35.7142857142857,19.5121951219512,25.0,38.4615384615385,26.0,31.1111111111111,37.5,0.0,0.0,0.0,0.0,13.3333333333333,17.3913043478261,0.0,23.3333333333333,16.6666666666667,0.0,11.1111111111111,10.2564102564103
