CpG,ACR-229-TP1.ACR-229-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-244-TP4.ACR-244-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-145-TP4.ACR-145-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-145-TP3.ACR-145-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-145-TP1.ACR-145-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-229-TP3.ACR-229-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-225-TP4.ACR-225-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-150-TP2.ACR-150-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-265-TP4.ACR-265-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-150-TP1.ACR-150-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-229-TP4.ACR-229-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-225-TP3.ACR-225-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-173-TP4.ACR-173-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-139-TP1.ACR-139-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-237-TP3.ACR-237-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-265-TP1.ACR-265-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-225-TP1.ACR-225-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-173-TP2.ACR-173-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-150-TP3.ACR-150-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-150-TP4.ACR-150-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-244-TP3.ACR-244-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-265-TP2.ACR-265-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-265-TP3.ACR-265-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-186-TP4.ACR-186-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-145-TP2.ACR-145-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-237-TP2.ACR-237-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-186-TP2.ACR-186-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-225-TP2.ACR-225-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-244-TP1.ACR-244-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-237-TP4.ACR-237-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-229-TP2.ACR-229-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-186-TP3.ACR-186-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-139-TP4.ACR-139-TP4_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-173-TP3.ACR-173-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-139-TP2.ACR-139-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-186-TP1.ACR-186-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-244-TP2.ACR-244-TP2_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-139-TP3.ACR-139-TP3_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-173-TP1.ACR-173-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz,ACR-237-TP1.ACR-237-TP1_R1_001.fastp-trim_bismark_bt2_pe.deduplicated.bismark.cov.gz
CpG_ntLink_6_13134032,18.0,11.1111111111111,0.0,0.0,0.0,14.5833333333333,22.7272727272727,0.0,0.0,5.88235294117647,12.5,10.5263157894737,0.0,0.0,0.0,0.0,52.6315789473684,0.0,0.0,0.0,4.34782608695652,0.0,0.0,0.0,0.0,0.0,0.0,22.2222222222222,17.3913043478261,10.0,20.9302325581395,0.0,2.4390243902439,0.0,0.0,0.0,16.6666666666667,0.0,0.0,0.0
CpG_ntLink_6_13134040,28.5714285714286,11.1111111111111,7.69230769230769,4.54545454545455,0.0,31.25,42.3076923076923,0.0,4.16666666666667,0.0,23.2558139534884,15.0,0.0,0.0,0.0,11.5384615384615,0.0,0.0,0.0,0.0,21.7391304347826,4.34782608695652,0.0,0.0,0.0,0.0,0.0,27.7777777777778,18.1818181818182,0.0,28.8888888888889,0.0,2.4390243902439,0.0,0.0,0.0,16.6666666666667,0.0,0.0,0.0
CpG_ntLink_6_13134052,26.3157894736842,8.82352941176471,6.89655172413793,0.0,0.0,32.0,40.7407407407407,0.0,3.84615384615385,5.88235294117647,26.1904761904762,9.52380952380952,0.0,0.0,0.0,15.3846153846154,33.3333333333333,2.77777777777778,0.0,0.0,17.3913043478261,4.16666666666667,0.0,0.0,0.0,0.0,0.0,17.6470588235294,30.0,10.0,30.4347826086957,0.0,4.76190476190476,0.0,0.0,0.0,16.6666666666667,0.0,0.0,0.0
CpG_ntLink_6_13134419,24.4444444444444,39.2857142857143,0.0,0.0,0.0,20.0,27.2727272727273,0.0,0.0,0.0,22.2222222222222,0.0,23.4042553191489,0.0,0.0,0.0,17.3913043478261,15.3846153846154,0.0,0.0,43.4782608695652,0.0,0.0,0.0,0.0,0.0,0.0,8.33333333333333,25.0,0.0,24.390243902439,0.0,0.0,9.80392156862745,0.0,0.0,35.7142857142857,0.0,20.0,0.0
CpG_ntLink_6_13134512,31.9148936170213,6.66666666666667,16.6666666666667,0.0,12.5,29.0322580645161,23.0769230769231,0.0,15.3846153846154,0.0,32.5,15.3846153846154,13.5135135135135,0.0,0.0,3.2258064516129,53.3333333333333,0.0,0.0,0.0,26.0869565217391,23.5294117647059,3.84615384615385,0.0,10.0,0.0,0.0,18.1818181818182,3.84615384615385,0.0,27.5,0.0,2.22222222222222,0.0,3.33333333333333,0.0,13.0434782608696,3.57142857142857,6.06060606060606,0.0
CpG_ntLink_6_13134542,11.9047619047619,3.57142857142857,5.0,0.0,4.16666666666667,5.55555555555556,13.3333333333333,0.0,11.1111111111111,0.0,10.8695652173913,5.88235294117647,0.0,0.0,0.0,3.2258064516129,37.9310344827586,0.0,0.0,0.0,5.26315789473684,0.0,3.57142857142857,0.0,4.34782608695652,0.0,0.0,6.66666666666667,8.69565217391304,0.0,5.88235294117647,0.0,0.0,0.0,5.55555555555556,0.0,4.16666666666667,0.0,2.85714285714286,0.0
CpG_ntLink_6_13134554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,3.125,12.9032258064516,0.0,4.34782608695652,0.0,0.0,0.0,0.0,0.0,4.54545454545455,0.0,0.0,0.0,4.34782608695652,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77777777777778,0.0
CpG_ntLink_6_13134703,2.85714285714286,5.71428571428571,0.0,4.16666666666667,2.94117647058824,9.375,16.6666666666667,0.0,4.0,0.0,15.7894736842105,3.7037037037037,0.0,0.0,0.0,3.84615384615385,52.9411764705882,0.0,0.0,0.0,0.0,0.0,6.06060606060606,0.0,5.88235294117647,0.0,0.0,33.3333333333333,14.2857142857143,0.0,2.4390243902439,0.0,0.0,0.0,0.0,0.0,14.8148148148148,0.0,0.0,0.0
CpG_ntLink_6_13134790,28.2051282051282,23.3333333333333,0.0,7.69230769230769,13.3333333333333,23.2558139534884,22.5,5.88235294117647,5.26315789473684,0.0,26.1904761904762,14.2857142857143,0.0,0.0,0.0,13.7931034482759,38.8888888888889,0.0,0.0,0.0,0.0,0.0,2.77777777777778,0.0,11.5384615384615,0.0,0.0,26.6666666666667,8.88888888888889,0.0,17.6470588235294,0.0,0.0,0.0,0.0,0.0,13.6363636363636,0.0,0.0,0.0
CpG_ntLink_6_13134796,38.4615384615385,23.3333333333333,0.0,17.8571428571429,13.6363636363636,31.1111111111111,25.0,0.0,10.2564102564103,2.5,37.5,19.5121951219512,2.38095238095238,0.0,0.0,16.6666666666667,36.8421052631579,0.0,0.0,0.0,0.0,0.0,11.1111111111111,0.0,18.5185185185185,0.0,0.0,35.7142857142857,13.3333333333333,0.0,26.0,0.0,0.0,3.33333333333333,0.0,0.0,17.3913043478261,0.0,3.38983050847458,0.0
CpG_ntLink_6_13134800,30.5555555555556,13.3333333333333,0.0,7.69230769230769,7.31707317073171,24.4444444444444,17.0731707317073,0.0,0.0,0.0,26.3157894736842,5.0,2.29885057471264,0.0,0.0,6.66666666666667,47.3684210526316,2.7027027027027,0.0,0.0,0.0,0.0,2.7027027027027,0.0,10.7142857142857,0.0,3.7037037037037,20.0,2.32558139534884,0.0,16.3265306122449,0.0,0.0,1.66666666666667,0.0,0.0,9.09090909090909,0.0,1.75438596491228,0.0
CpG_ntLink_6_13134803,37.8378378378378,27.5862068965517,3.84615384615385,10.7142857142857,12.5,35.5555555555556,31.5789473684211,0.0,4.8780487804878,0.0,33.3333333333333,26.8292682926829,3.40909090909091,0.0,0.0,14.2857142857143,52.6315789473684,2.77777777777778,0.0,0.0,0.0,6.25,8.57142857142857,0.0,17.8571428571429,0.0,0.0,33.3333333333333,11.9047619047619,0.0,23.5294117647059,0.0,0.0,5.17241379310345,0.0,0.0,17.3913043478261,0.0,1.75438596491228,0.0
CpG_ntLink_6_13134839,26.6666666666667,3.44827586206897,4.0,6.66666666666667,4.25531914893617,30.0,31.25,0.0,2.22222222222222,0.0,29.5454545454545,7.31707317073171,2.77777777777778,0.0,0.0,6.89655172413793,56.25,2.56410256410256,0.0,0.0,0.0,0.0,3.44827586206897,0.0,11.5384615384615,0.0,0.0,16.6666666666667,11.1111111111111,0.0,16.9811320754717,0.0,0.0,5.0,0.0,0.0,8.33333333333333,0.0,1.72413793103448,0.0
CpG_ntLink_6_13134955,0.0,0.0,3.7037037037037,3.57142857142857,0.0,2.7027027027027,22.2222222222222,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,41.1764705882353,2.5,0.0,0.0,0.0,0.0,6.45161290322581,0.0,0.0,0.0,0.0,7.69230769230769,0.0,0.0,3.7037037037037,0.0,0.0,3.57142857142857,0.0,0.0,4.34782608695652,0.0,3.77358490566038,0.0
CpG_ntLink_6_13135348,10.0,9.09090909090909,13.7931034482759,3.57142857142857,0.0,4.65116279069767,26.3157894736842,0.0,7.14285714285714,0.0,2.17391304347826,6.66666666666667,0.0,0.0,0.0,6.66666666666667,20.5882352941176,0.0,4.16666666666667,6.66666666666667,0.0,4.0,10.7142857142857,0.0,6.45161290322581,0.0,0.0,10.0,18.1818181818182,0.0,17.4603174603175,0.0,3.03030303030303,0.0,0.0,0.0,8.69565217391304,0.0,1.92307692307692,0.0
CpG_ntLink_6_13135361,7.31707317073171,9.09090909090909,15.625,0.0,0.0,7.69230769230769,15.7894736842105,0.0,7.69230769230769,0.0,11.1111111111111,7.14285714285714,0.0,0.0,0.0,13.3333333333333,0.0,0.0,0.0,0.0,0.0,12.5,14.2857142857143,0.0,3.2258064516129,0.0,0.0,15.0,8.33333333333333,0.0,18.9655172413793,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
CpG_ntLink_6_13135371,0.0,10.0,17.2413793103448,0.0,0.0,7.89473684210526,25.0,8.33333333333333,0.0,0.0,10.6382978723404,0.0,0.0,0.0,5.0,6.45161290322581,42.4242424242424,0.0,4.16666666666667,6.66666666666667,0.0,8.0,7.14285714285714,0.0,6.45161290322581,0.0,0.0,10.5263157894737,13.0434782608696,0.0,13.7931034482759,0.0,0.0,0.0,0.0,0.0,5.26315789473684,0.0,0.0,0.0
